mass_A,,
t,x,y
0,-0.397,5.25E-02
0.033,-0.395,5.26E-02
0.067,-0.395,5.26E-02
0.1,-0.392,5.27E-02
0.133,-0.387,5.16E-02
0.167,-0.374,5.07E-02
0.2,-0.374,4.95E-02
0.233,-0.366,4.97E-02
0.267,-0.363,4.99E-02
0.3,-0.351,5.03E-02
0.333,-0.348,5.04E-02
0.367,-0.338,5.07E-02
0.4,-0.333,5.09E-02
0.433,-0.327,5.11E-02
0.467,-0.318,5.02E-02
0.5,-0.313,5.03E-02
0.533,-0.31,5.04E-02
0.567,-0.305,5.06E-02
0.6,-0.301,5.08E-02
0.633,-0.3,5.08E-02
0.667,-0.299,5.08E-02
0.7,-0.295,5.23E-02
0.733,-0.301,5.20E-02
0.767,-0.305,4.93E-02
0.8,-0.306,4.93E-02
0.835,-0.311,4.91E-02
0.868,-0.315,4.90E-02
0.902,-0.322,4.87E-02
0.935,-0.327,4.73E-02
0.968,-0.333,4.71E-02
1.002,-0.347,5.04E-02
1.035,-0.346,5.04E-02
1.068,-0.354,5.02E-02
1.102,-0.37,5.21E-02
1.135,-0.373,5.21E-02
1.168,-0.377,5.19E-02
1.202,-0.382,5.68E-02
1.235,-0.387,5.28E-02
1.268,-0.392,5.39E-02
1.302,-0.396,5.38E-02
1.335,-0.395,5.38E-02
1.368,-0.389,5.15E-02
1.402,-0.391,5.27E-02
1.435,-0.391,5.27E-02
1.468,-0.387,5.28E-02
1.502,-0.387,5.41E-02
1.535,-0.387,5.41E-02
1.568,-0.375,4.81E-02
1.602,-0.367,5.48E-02
1.635,-0.364,5.49E-02
1.668,-0.359,5.51E-02
1.702,-0.351,5.41E-02
1.735,-0.345,5.43E-02
1.768,-0.336,5.46E-02
1.802,-0.331,5.23E-02
1.835,-0.327,5.24E-02
1.868,-0.318,5.27E-02
1.902,-0.31,5.30E-02
1.935,-0.309,5.30E-02
1.968,-0.304,5.19E-02
2.002,-0.302,5.20E-02
2.035,-0.297,5.22E-02
2.068,-0.3,5.21E-02
2.102,-0.306,5.18E-02
2.135,-0.301,5.20E-02
2.168,-0.305,5.06E-02
2.202,-0.308,5.05E-02
2.235,-0.317,5.15E-02
2.268,-0.322,5.13E-02
2.302,-0.325,5.12E-02
2.335,-0.334,5.09E-02
2.368,-0.336,5.08E-02
2.402,-0.346,5.30E-02
2.435,-0.355,5.27E-02
2.468,-0.361,5.25E-02
2.502,-0.369,5.47E-02
2.535,-0.374,5.46E-02
2.568,-0.381,5.43E-02
2.602,-0.388,5.41E-02
2.635,-0.39,5.40E-02
2.668,-0.397,5.37E-02
2.702,-0.395,5.38E-02
2.735,-0.396,5.38E-02
2.768,-0.397,5.37E-02
2.802,-0.397,5.25E-02
2.835,-0.393,5.13E-02
2.868,-0.389,5.15E-02
2.902,-0.386,4.90E-02
2.935,-0.383,4.91E-02
2.968,-0.371,4.95E-02
3.002,-0.366,4.97E-02
3.035,-0.357,5.00E-02
3.068,-0.355,5.01E-02
3.102,-0.348,5.04E-02
3.137,-0.34,5.07E-02
3.17,-0.327,5.11E-02
3.203,-0.324,5.12E-02
3.237,-0.319,5.14E-02
3.27,-0.315,5.03E-02
3.303,-0.31,5.04E-02
3.337,-0.301,5.08E-02
3.37,-0.308,5.18E-02
3.403,-0.296,5.22E-02
3.437,-0.301,5.20E-02
3.47,-0.3,5.21E-02
3.503,-0.3,5.21E-02
3.537,-0.3,5.08E-02
3.57,-0.309,5.05E-02
3.603,-0.313,5.03E-02
3.637,-0.319,5.01E-02
3.67,-0.325,5.12E-02
3.703,-0.327,5.11E-02
3.737,-0.334,5.21E-02
3.77,-0.346,5.04E-02
3.803,-0.354,5.02E-02
3.837,-0.361,4.99E-02
3.87,-0.37,5.09E-02
3.903,-0.374,5.07E-02
3.937,-0.377,5.06E-02
3.97,-0.38,5.05E-02
4.003,-0.387,5.03E-02
4.037,-0.395,5.13E-02
4.07,-0.397,5.25E-02
4.103,-0.4,5.24E-02
4.137,-0.396,5.25E-02
4.17,-0.395,5.26E-02
4.203,-0.393,5.01E-02
4.237,-0.388,5.02E-02
4.27,-0.378,5.06E-02
4.303,-0.379,5.05E-02
4.337,-0.373,5.08E-02
4.37,-0.366,5.10E-02
4.403,-0.363,4.99E-02
4.437,-0.354,4.89E-02
4.47,-0.347,4.78E-02
4.503,-0.342,4.80E-02
4.537,-0.336,4.83E-02
4.57,-0.33,4.59E-02
4.603,-0.324,4.61E-02
4.637,-0.32,4.62E-02
4.67,-0.313,4.78E-02
4.703,-0.306,4.80E-02
4.737,-0.301,4.95E-02
4.77,-0.3,4.70E-02
4.803,-0.3,4.70E-02
4.837,-0.305,4.93E-02
4.87,-0.304,4.94E-02
4.903,-0.305,4.93E-02
4.937,-0.305,4.93E-02
4.97,-0.307,4.92E-02
5.003,-0.31,4.92E-02
5.037,-0.319,4.88E-02
5.07,-0.328,4.85E-02
5.103,-0.334,4.83E-02
5.137,-0.343,4.80E-02
5.17,-0.351,4.77E-02
5.203,-0.356,4.75E-02
5.237,-0.361,4.73E-02
5.27,-0.366,4.72E-02
5.303,-0.374,4.69E-02
5.337,-0.38,4.92E-02
5.37,-0.384,4.91E-02
5.403,-0.392,5.01E-02
5.438,-0.397,5.50E-02
5.472,-0.388,5.41E-02
5.505,-0.397,5.50E-02
